category_group,ebay_store_category_id,ebay_store_category_name
books,4651789015,Books
magazines_periodicals,21156420015,Magazines
kitchen_utensils,6290844015,Kitchen, Bar & BBQ
electronics_adapters_chargers,6449881015,Power Supply
media_cassettes,6375802015,Cassette
manuals,21156422015,Booklets Catalogs Manuals
sewing_crafts,6450202015,Arts & Crafts
collectibles_pins_buttons,21156423015,Pins
media_records,1,Other
electronics_remotes,6449880015,Remote Controls
tools_hand,4651788015,Tools
electrical_fixtures,4787695015,Hardware
photos_ephemera,21562737015,Photographs Postcards
playing_cards,21551130015,Playing Cards
electronics_cables,21156414015,Cables and Adapters
model_trains,21562738015,Train
stamps,4787750015,Collectibles
kitchen_mugs,6375799015,Mugs & Cups
electronics_input,4796668015,Computer
sports_cards,22308556015,Trading Cards
